;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;0;0;0;0;1;1;;;;;;;433;;240;;;19;232
1;;0;0;0;0;1;1;;;;;;;909;;239;;;28;1199
2;;0;0;0;0;1;1;;;;;;;56;;237;;;15;179
3;;0;0;0;0;0;0;;;;;;;8;;237;;;16;22
4;;0;1;0;0;1;1;;;;;;;4390;;236;;;18;726
5;;0;0;0;0;0;0;;;;;;;0;;235;;;17;35
6;;0;0;0;0;0;0;;;;;;;0;;217;;;14;19
7;;0;0;0;0;1;0;;;;;;;1;;239;;;18;22
8;;0;0;0;0;0;1;;;;;;;42;;223;;;16;29
9;;0;0;0;0;1;0;;;;;;;1;;235;;;18;34
10;;0;0;0;1;1;1;;;;;;;4;;238;;;17;469
11;;0;0;0;0;0;1;;;;;;;42;;240;;;16;621
12;;0;0;0;0;1;0;;;;;;;7;;237;;;17;206
13;;0;0;0;0;1;0;;;;;;;2;;238;;;14;44
14;;0;0;0;0;1;0;;;;;;;0;;238;;;14;28
15;;0;0;0;0;0;0;;;;;;;0;;234;;;14;30
16;;0;0;0;0;0;0;;;;;;;0;;237;;;16;48
18;;0;0;0;0;1;0;;;;;;;0;;233;;;15;205
19;;0;0;0;0;1;0;;;;;;;3;;245;;;16;22
20;;0;0;0;0;1;0;;;;;;;0;;238;;;15;31
21;;0;0;0;0;0;1;;;;;;;95;;238;;;14;18
22;;0;1;0;0;0;0;;;;;;;0;;217;;;18;21
23;;0;0;0;0;1;1;;;;;;;21;;237;;;18;18
24;;0;0;0;0;1;0;;;;;;;2;;237;;;19;944
25;;0;0;0;0;0;1;;;;;;;2;;238;;;14;18
26;;0;0;0;0;1;1;;;;;;;460;;240;;;15;53
27;;0;0;0;0;1;0;;;;;;;0;;232;;;16;186
28;;0;0;0;0;1;0;;;;;;;17;;228;;;14;213
29;;0;0;0;0;1;1;;;;;;;232;;240;;;17;19
30;;0;0;0;0;1;0;;;;;;;2;;236;;;17;81
31;;0;0;0;0;0;0;;;;;;;1;;238;;;18;577
32;;0;0;0;0;0;0;;;;;;;0;;239;;;17;15
33;;0;0;0;0;0;0;;;;;;;3;;240;;;17;24
34;;0;0;0;1;1;0;;;;;;;1;;237;;;18;469
35;;0;0;0;0;0;0;;;;;;;3;;234;;;18;14
36;;0;0;0;0;0;1;;;;;;;1;;237;;;14;20
37;;0;0;0;0;0;0;;;;;;;2;;221;;;18;19
38;;0;0;0;0;1;0;;;;;;;0;;242;;;17;38
39;;0;0;0;0;1;1;;;;;;;206;;241;;;11;218
40;;0;0;0;0;0;0;;;;;;;4;;236;;;15;17
41;;0;0;0;0;1;0;;;;;;;1;;238;;;17;45
42;;0;0;0;0;0;0;;;;;;;1;;241;;;20;1426
43;;0;0;0;0;0;0;;;;;;;0;;236;;;16;19
44;;0;0;0;1;1;0;;;;;;;1;;239;;;16;106
45;;0;0;0;0;1;0;;;;;;;0;;210;;;16;77
46;;0;0;0;0;1;0;;;;;;;0;;240;;;18;89
47;;0;0;0;0;1;0;;;;;;;1;;245;;;15;611
48;;0;0;0;0;0;0;;;;;;;2;;235;;;14;24
49;;0;0;0;0;0;0;;;;;;;1;;233;;;17;42
50;;0;0;0;0;0;0;;;;;;;0;;237;;;15;56
51;;0;0;0;0;1;0;;;;;;;0;;234;;;14;64
52;;0;0;0;0;0;0;;;;;;;1;;238;;;15;17
53;;0;0;0;0;1;1;;;;;;;0;;237;;;14;24
54;;0;0;0;0;0;0;;;;;;;0;;220;;;16;12
55;;0;0;0;0;0;0;;;;;;;0;;239;;;18;29
56;;0;0;0;0;1;1;;;;;;;0;;235;;;14;16
57;;0;0;0;0;0;0;;;;;;;0;;241;;;14;12
58;;0;0;0;0;0;0;;;;;;;3;;236;;;18;10
59;;0;0;0;0;1;0;;;;;;;0;;236;;;16;177
60;;0;0;0;0;1;1;;;;;;;0;;229;;;15;173
61;;0;0;0;0;0;1;;;;;;;4;;249;;;16;118
62;;0;0;0;0;0;0;;;;;;;0;;274;;;16;21
63;;0;0;0;0;1;0;;;;;;;0;;283;;;15;
64;;0;0;0;0;0;0;;;;;;;0;;238;;;17;40
65;;0;0;0;0;0;0;;;;;;;1;;238;;;19;24
66;;0;0;0;0;0;0;;;;;;;0;;241;;;17;139
67;;0;0;0;0;1;0;;;;;;;1;;240;;;16;834
68;;0;0;0;0;1;0;;;;;;;0;;239;;;17;84
69;;0;0;0;0;1;0;;;;;;;0;;238;;;14;132
70;;0;0;1;0;0;0;;;;;;;0;;235;;;14;71
71;;0;0;0;0;0;0;;;;;;;1;;236;;;19;11
72;;0;0;0;0;1;0;;;;;;;3;;247;;;17;206
73;;0;0;0;0;1;0;;;;;;;0;;219;;;17;68
74;;0;0;0;0;0;0;;;;;;;0;;239;;;16;137
75;;0;0;0;0;1;0;;;;;;;0;;240;;;15;261
76;;0;0;0;0;1;0;;;;;;;0;;239;;;15;72
77;;0;0;0;0;0;0;;;;;;;3;;227;;;14;31
78;;0;0;0;1;1;0;;;;;;;7;;223;;;17;283
79;;0;0;1;0;1;0;;;;;;;0;;239;;;17;297
80;;0;0;1;0;1;1;;;;;;;420;;234;;;17;289
81;;0;0;0;0;0;1;;;;;;;0;;241;;;17;45
82;;0;0;0;0;0;0;;;;;;;1;;186;;;15;25
83;;0;0;0;0;0;0;;;;;;;0;;238;;;15;94
84;;0;0;0;0;0;0;;;;;;;0;;240;;;15;72
85;;0;0;0;0;1;1;;;;;;;59;;237;;;14;87
86;;0;0;0;1;1;0;;;;;;;1;;237;;;15;265
87;;0;0;0;0;1;0;;;;;;;0;;228;;;16;95
88;;0;1;0;1;1;0;;;;;;;4;;241;;;14;89
89;;0;0;0;0;0;0;;;;;;;0;;239;;;17;16
90;;0;0;0;0;1;1;;;;;;;0;;242;;;16;316
91;;0;0;0;0;0;0;;;;;;;0;;237;;;15;26
92;;0;0;0;0;1;0;;;;;;;0;;224;;;18;140
93;;0;0;0;0;1;1;;;;;;;0;;235;;;15;51
94;;0;0;0;0;1;1;;;;;;;0;;235;;;15;14
95;;0;0;0;0;0;0;;;;;;;2;;237;;;15;1935
96;;0;0;0;0;1;0;;;;;;;0;;237;;;15;61
97;;0;0;1;0;1;0;;;;;;;11;;228;;;28;1942
98;;0;0;0;1;1;0;;;;;;;4;;215;;;14;36
99;;0;0;0;0;1;0;;;;;;;0;;239;;;15;136
