;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;0;0;0;0;0;0;;;;;;;3;;237;;;21;11
1;;0;0;0;0;0;0;;;;;;;3;;239;;;27;584
2;;0;0;0;0;0;0;;;;;;;0;;252;;;17;5
3;;0;0;0;0;0;0;;;;;;;0;;242;;;13;15
4;;0;0;0;0;0;0;;;;;;;0;;239;;;16;18
5;;0;0;0;0;0;0;;;;;;;1;;238;;;17;9
6;;0;0;0;0;0;0;;;;;;;0;;238;;;16;21
7;;0;0;0;0;0;0;;;;;;;0;;238;;;15;15
8;;0;0;0;0;0;0;;;;;;;2;;237;;;16;22
9;;0;0;0;0;0;0;;;;;;;0;;241;;;18;14
10;;0;0;0;0;0;0;;;;;;;0;;237;;;17;85
11;;0;0;0;0;0;0;;;;;;;0;;237;;;16;6
12;;0;0;0;0;0;0;;;;;;;2;;237;;;15;5
13;;0;0;0;0;0;0;;;;;;;1;;239;;;29;648
14;;0;0;0;0;0;0;;;;;;;0;;237;;;15;6
15;;0;0;0;0;0;0;;;;;;;0;;237;;;13;28
16;;0;0;0;0;0;0;;;;;;;1;;239;;;18;19
17;;0;0;0;0;0;0;;;;;;;1;;238;;;16;4
18;;0;0;0;0;0;0;;;;;;;1;;237;;;16;8
19;;0;0;0;0;0;0;;;;;;;1;;239;;;30;625
20;;0;0;0;0;0;0;;;;;;;0;;238;;;17;29
21;;0;0;0;0;0;0;;;;;;;0;;237;;;16;9
22;;0;0;0;0;0;0;;;;;;;0;;237;;;15;13
23;;0;0;0;0;0;0;;;;;;;0;;240;;;16;21
24;;0;0;0;0;0;0;;;;;;;0;;237;;;15;3
25;;0;0;0;0;0;0;;;;;;;0;;241;;;15;10
26;;0;0;0;0;0;0;;;;;;;0;;237;;;15;6
27;;0;0;0;0;0;0;;;;;;;0;;238;;;17;11
28;;0;0;0;0;0;0;;;;;;;0;;239;;;14;16
29;;0;0;0;0;0;0;;;;;;;0;;237;;;14;25
30;;0;0;0;0;0;0;;;;;;;0;;238;;;17;17
31;;0;0;0;0;0;0;;;;;;;0;;238;;;12;635
32;;0;0;0;0;0;0;;;;;;;0;;239;;;14;19
33;;0;0;0;0;0;0;;;;;;;1;;239;;;16;5
34;;0;0;0;0;0;0;;;;;;;3;;237;;;16;21
35;;0;0;0;0;0;0;;;;;;;2;;240;;;18;796
36;;0;0;0;0;0;0;;;;;;;1;;238;;;16;13
37;;0;0;0;0;0;0;;;;;;;2;;240;;;18;634
38;;0;0;0;0;0;0;;;;;;;0;;240;;;14;5
39;;0;0;0;0;0;0;;;;;;;1;;238;;;15;7
40;;0;0;0;0;0;0;;;;;;;0;;243;;;17;24
41;;0;0;0;0;0;0;;;;;;;0;;239;;;14;13
42;;0;0;0;0;1;0;;;;;;;0;;237;;;16;29
43;;0;0;0;0;0;0;;;;;;;0;;237;;;14;27
44;;0;0;0;0;0;0;;;;;;;2;;235;;;16;14
45;;0;0;0;0;0;0;;;;;;;0;;241;;;14;26
46;;0;0;0;0;0;0;;;;;;;0;;237;;;16;463
47;;0;0;0;0;0;0;;;;;;;0;;238;;;15;496
48;;0;0;0;0;0;0;;;;;;;1;;238;;;28;720
49;;0;0;0;0;0;0;;;;;;;5;;238;;;18;10
50;;0;0;0;0;0;0;;;;;;;1;;239;;;19;9
51;;0;0;0;0;0;0;;;;;;;0;;239;;;15;13
52;;0;0;0;0;0;0;;;;;;;0;;238;;;15;11
53;;0;0;0;0;0;0;;;;;;;1;;238;;;16;4
54;;0;0;0;0;0;0;;;;;;;4;;239;;;16;5
55;;0;0;0;0;0;0;;;;;;;1;;237;;;17;46
56;;0;0;0;0;0;0;;;;;;;10;;240;;;14;2
57;;0;0;0;0;0;0;;;;;;;0;;238;;;18;5
58;;0;0;0;0;0;0;;;;;;;0;;237;;;16;15
59;;0;0;0;0;0;0;;;;;;;0;;238;;;16;61
60;;0;0;0;0;0;0;;;;;;;0;;238;;;20;29
61;;0;0;0;0;0;0;;;;;;;0;;240;;;15;29
62;;0;0;0;0;0;0;;;;;;;5;;238;;;16;50
63;;0;0;0;0;0;0;;;;;;;0;;239;;;16;8
64;;0;0;0;0;0;0;;;;;;;0;;239;;;16;23
65;;0;0;0;0;0;0;;;;;;;0;;239;;;18;21
66;;0;0;0;0;0;0;;;;;;;3;;237;;;17;28
67;;0;0;0;0;0;0;;;;;;;2;;236;;;16;50
68;;0;0;0;0;0;0;;;;;;;0;;238;;;16;15
69;;0;0;0;0;0;0;;;;;;;0;;238;;;17;20
70;;0;0;0;0;0;0;;;;;;;0;;238;;;17;14
71;;0;0;0;0;0;0;;;;;;;0;;236;;;15;26
72;;0;0;0;0;0;0;;;;;;;0;;238;;;14;8
73;;0;0;0;0;0;0;;;;;;;1;;238;;;17;24
74;;0;0;0;0;0;0;;;;;;;0;;238;;;13;838
75;;0;0;0;0;1;0;;;;;;;1;;238;;;17;188
76;;0;0;0;0;0;0;;;;;;;0;;240;;;15;25
77;;0;0;0;0;0;0;;;;;;;0;;234;;;19;17
78;;0;0;0;0;0;0;;;;;;;0;;241;;;16;11
79;;0;0;0;0;0;0;;;;;;;0;;239;;;17;60
80;;0;0;0;0;0;0;;;;;;;0;;239;;;19;6
81;;0;0;0;0;0;0;;;;;;;0;;238;;;16;21
82;;0;0;0;0;0;0;;;;;;;0;;234;;;13;13
83;;0;0;0;0;0;0;;;;;;;1;;239;;;17;26
84;;0;0;0;0;0;0;;;;;;;0;;239;;;17;848
85;;0;0;0;0;0;0;;;;;;;1;;238;;;18;17
86;;0;0;0;0;0;0;;;;;;;0;;238;;;19;10
87;;0;0;0;0;0;0;;;;;;;0;;240;;;14;605
88;1;0;0;0;0;0;0;;;;;;;1;;241;;;15;17
89;;0;1;0;0;0;0;;;;;;;0;;236;;;16;10
90;;0;0;0;0;0;0;;;;;;;0;;237;;;13;24
91;;0;0;0;0;0;0;;;;;;;0;;241;;;16;12
92;;0;0;0;0;0;0;;;;;;;0;;237;;;16;11
93;;0;0;0;0;0;0;;;;;;;1;;238;;;15;27
94;;0;0;0;0;0;0;;;;;;;1;;236;;;16;42
95;;0;0;0;0;0;0;;;;;;;0;;237;;;17;18
96;;0;0;0;0;0;0;;;;;;;0;;238;;;16;14
97;;0;0;0;0;0;0;;;;;;;0;;235;;;16;12
98;;0;0;0;0;0;0;;;;;;;2;;240;;;14;9
99;;0;0;0;0;0;0;;;;;;;0;;235;;;15;19
