;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;0;0;0;1;1;0;;;;;;;29.0;;237.0;;;20.0;65.0
1;;0;1;1;1;1;0;;;;;;;7.0;;235.0;;;15.0;78.0
2;;0;1;1;1;1;1;;;;;;;2.0;;235.0;;;15.0;239.0
3;;0;0;1;0;0;0;;;;;;;13.0;;239.0;;;18.0;17.0
4;;0;1;1;0;0;0;;;;;;;1.0;;238.0;;;18.0;20.0
5;;0;0;1;1;0;0;;;;;;;21.0;;237.0;;;23.0;16.0
6;;0;0;1;1;0;0;;;;;;;88.0;;237.0;;;19.0;41.0
7;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;21.0;95.0
8;;0;0;1;0;0;0;;;;;;;4.0;;260.0;;;19.0;94.0
9;;0;1;1;1;0;0;;;;;;;9.0;;236.0;;;20.0;29.0
10;;0;0;1;1;1;0;;;;;;;1.0;;240.0;;;22.0;207.0
11;;0;0;1;1;0;0;;;;;;;0.0;;235.0;;;18.0;97.0
12;;0;1;1;1;1;0;;;;;;;1.0;;238.0;;;18.0;207.0
13;;0;1;1;1;1;0;;;;;;;0.0;;242.0;;;20.0;442.0
14;;0;0;1;1;0;0;;;;;;;23.0;;238.0;;;16.0;9.0
15;;0;0;1;1;1;0;;;;;;;1.0;;236.0;;;18.0;313.0
16;;0;1;1;1;1;0;;;;;;;1.0;;237.0;;;18.0;86.0
17;;0;0;1;1;0;0;;;;;;;0.0;;236.0;;;13.0;73.0
18;;0;1;1;1;0;0;;;;;;;98.0;;236.0;;;21.0;15.0
19;;0;0;1;1;0;0;;;;;;;5.0;;235.0;;;17.0;56.0
20;;0;0;0;1;1;0;;;;;;;95.0;;239.0;;;20.0;190.0
21;;0;0;1;0;1;0;;;;;;;2.0;;238.0;;;20.0;252.0
22;;0;0;1;1;0;0;;;;;;;23.0;;239.0;;;25.0;14.0
23;;0;1;1;1;0;0;;;;;;;0.0;;240.0;;;21.0;27.0
24;;0;0;1;1;0;0;;;;;;;50.0;;237.0;;;20.0;17.0
25;;0;1;1;1;0;0;;;;;;;3.0;;232.0;;;26.0;77.0
26;;0;0;1;1;1;0;;;;;;;57.0;;238.0;;;13.0;138.0
27;;0;0;1;1;0;0;;;;;;;7.0;;238.0;;;19.0;6.0
28;;0;1;1;1;1;0;;;;;;;2.0;;237.0;;;14.0;95.0
29;;0;1;0;1;1;0;;;;;;;1.0;;236.0;;;16.0;107.0
30;;0;0;1;1;0;0;;;;;;;1.0;;234.0;;;18.0;25.0
31;;0;0;1;1;0;0;;;;;;;2.0;;238.0;;;15.0;658.0
32;;0;0;1;1;1;0;;;;;;;12.0;;235.0;;;18.0;194.0
33;;0;0;0;1;0;0;;;;;;;53.0;;234.0;;;25.0;113.0
34;;0;0;0;1;0;0;;;;;;;18.0;;238.0;;;28.0;1196.0
35;;0;1;1;1;0;0;;;;;;;12.0;;238.0;;;21.0;64.0
36;;0;1;1;1;0;0;;;;;;;26.0;;241.0;;;22.0;18.0
37;;0;0;1;1;0;1;;;;;;;3.0;;235.0;;;19.0;29.0
38;;0;1;1;1;0;0;;;;;;;62.0;;248.0;;;22.0;49.0
39;;0;0;1;0;0;0;;;;;;;1.0;;234.0;;;17.0;12.0
40;;0;1;1;1;0;0;;;;;;;4.0;;237.0;;;19.0;52.0
41;;0;0;1;1;0;0;;;;;;;2.0;;238.0;;;22.0;12.0
42;;0;1;1;1;0;0;;;;;;;0.0;;237.0;;;16.0;35.0
43;;0;0;1;1;0;0;;;;;;;1.0;;239.0;;;21.0;23.0
44;;0;0;0;1;1;0;;;;;;;22.0;;240.0;;;21.0;781.0
45;;0;1;1;1;0;0;;;;;;;20.0;;240.0;;;21.0;45.0
46;;0;1;1;1;0;0;;;;;;;4.0;;236.0;;;21.0;7.0
47;;0;0;1;0;0;0;;;;;;;0.0;;234.0;;;14.0;33.0
48;;0;0;1;1;0;0;;;;;;;3.0;;234.0;;;16.0;73.0
49;;0;0;1;1;1;0;;;;;;;3.0;;239.0;;;20.0;59.0
50;;0;1;1;0;0;0;;;;;;;3.0;;239.0;;;17.0;56.0
51;;0;0;1;1;0;0;;;;;;;9.0;;233.0;;;16.0;75.0
52;;0;1;1;1;0;0;;;;;;;102.0;;237.0;;;17.0;16.0
53;;0;0;1;1;0;0;;;;;;;1.0;;238.0;;;20.0;14.0
54;;0;0;1;1;0;0;;;;;;;8.0;;238.0;;;18.0;70.0
55;;0;0;1;1;0;0;;;;;;;61.0;;239.0;;;24.0;32.0
