;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended;filenames;;
100278;;0;0;0;1;0;0;;;;;;;0;;242;;;26;13;['/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100278_a.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100278_b.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100278_c.png']
100279;;0;1;1;1;1;0;;;;;;;0;;241;;;28;61;['/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100279_a.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100279_b.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100279_c.png']
100280;;0;0;1;1;1;0;;;;;;;0;;242;;;24;28;['/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100280_a.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100280_b.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100280_c.png']
100281;;0;1;1;1;1;0;;;;;;;0;;237;;;26;34;['/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100281_a.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100281_b.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100281_c.png']
100282;;;;;;;;;;;;;1;0;;110;;;11;56;['/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100282_a.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100282_b.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100282_c.png']
100283;;;;;;;;;;;;;1;0;;13;;;21;5568;['/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100283_a.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100283_b.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100283_c.png']
100284;;;;;;;;;;;;;1;0;;251;;;44;472;['/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100284_a.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100284_b.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100284_c.png']
100285;;0;0;0;1;0;0;;;;;;;0;;236;;;29;6;['/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100285_a.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100285_b.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100285_c.png']
100286;;0;0;0;1;1;0;;;;;;;0;;242;;;23;13;['/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100286_a.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100286_b.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100286_c.png']
100287;;0;0;0;1;0;0;;;;;;;0;;240;;;23;9;['/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100287_a.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100287_b.png'; '/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/3/3/100287_c.png']
