;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;18.0;13.0
1;;0;0;0;0;0;1;;;;;;;135.0;;235.0;;;18.0;29.0
2;;0;0;0;0;0;1;;;;;;;7.0;;240.0;;;22.0;32.0
3;;0;0;0;0;0;0;;;;;;;11.0;;238.0;;;24.0;29.0
4;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;19.0;53.0
5;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;17.0;161.0
6;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;20.0;96.0
7;;0;0;0;0;0;1;;;;;;;13.0;;241.0;;;19.0;84.0
8;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;18.0;677.0
9;;0;0;0;0;0;1;;;;;;;4.0;;234.0;;;20.0;26.0
10;;0;0;0;0;0;1;;;;;;;28.0;;238.0;;;20.0;31.0
11;;0;0;0;0;0;1;;;;;;;2.0;;239.0;;;19.0;3.0
12;;0;0;0;0;0;0;;;;;;;4.0;;238.0;;;16.0;31.0
13;;0;0;0;0;0;0;;;;;;;3.0;;239.0;;;21.0;41.0
14;;0;0;0;0;0;1;;;;;;;64.0;;237.0;;;16.0;27.0
15;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;24.0;12.0
16;;0;0;0;0;0;1;;;;;;;14.0;;244.0;;;18.0;720.0
17;;0;0;0;0;0;1;;;;;;;1.0;;237.0;;;18.0;52.0
18;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;28.0;427.0
19;;0;0;0;0;0;0;;;;;;;2.0;;240.0;;;20.0;59.0
20;;0;0;1;0;0;0;;;;;;;5.0;;239.0;;;26.0;1115.0
21;;0;0;0;0;0;1;;;;;;;2.0;;240.0;;;18.0;27.0
22;;0;0;0;0;0;1;;;;;;;3.0;;238.0;;;21.0;10.0
23;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;22.0;50.0
