;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;0;0;0;0;0;1;;;;;;;1.0;;106.0;;;15.0;188.0
1;;0;0;0;0;0;0;;;;;;;0.0;;113.0;;;16.0;265.0
2;;0;0;1;0;0;0;;;;;;;3.0;;123.0;;;16.0;105.0
3;;0;0;1;0;1;0;;;;;;;0.0;;103.0;;;18.0;323.0
4;;0;0;0;0;0;0;;;;;;;0.0;;97.0;;;14.0;
5;;0;0;0;0;0;0;;;;;;;0.0;;105.0;;;23.0;323.0
6;;0;0;0;0;0;0;;;;;;;0.0;;129.0;;;30.0;27847.0
7;;0;0;1;0;0;0;;;;;;;0.0;;113.0;;;19.0;130.0
8;;0;0;0;0;0;1;;;;;;;1.0;;115.0;;;22.0;31.0
9;;0;0;0;0;0;0;;;;;;;1.0;;106.0;;;28.0;126.0
10;;0;0;0;0;0;0;;;;;;;0.0;;105.0;;;19.0;100.0
11;;0;0;1;0;0;0;;;;;;;1.0;;103.0;;;21.0;1186.0
12;;0;0;1;0;0;0;;;;;;;3.0;;115.0;;;33.0;78.0
13;;0;0;0;1;0;0;;;;;;;5.0;;109.0;;;13.0;48.0
14;;0;0;0;0;0;0;;;;;;;0.0;;119.0;;;18.0;59.0
15;;0;0;1;1;0;0;;;;;;;10.0;;135.0;;;22.0;132.0
16;;0;0;0;0;0;1;;;;;;;0.0;;116.0;;;19.0;70.0
17;;0;0;0;0;0;1;;;;;;;1.0;;120.0;;;12.0;99.0
18;;0;0;0;0;0;0;;;;;;;0.0;;102.0;;;15.0;527.0
19;;0;0;0;0;0;0;;;;;;;0.0;;111.0;;;20.0;236.0
20;;0;0;0;0;0;1;;;;;;;1.0;;93.0;;;23.0;355.0
21;;0;0;1;0;0;0;;;;;;;1.0;;173.0;;;18.0;
22;;0;0;0;0;0;0;;;;;;;0.0;;128.0;;;16.0;29.0
23;;0;0;0;0;0;0;;;;;;;0.0;;120.0;;;13.0;47.0
24;;0;0;1;0;0;0;;;;;;;0.0;;104.0;;;24.0;202.0
25;;0;0;1;0;0;0;;;;;;;1.0;;105.0;;;18.0;61.0
26;;0;0;0;0;0;0;;;;;;;0.0;;104.0;;;;311.0
27;;0;0;0;0;0;0;;;;;;;0.0;;100.0;;;21.0;2218.0
28;;0;0;1;0;0;0;;;;;;;0.0;;129.0;;;18.0;34.0
29;;0;0;0;0;0;0;;;;;;;0.0;;122.0;;;21.0;72.0
30;;0;0;0;0;0;0;;;;;;;0.0;;104.0;;;20.0;90.0
31;;0;0;0;0;0;0;;;;;;;0.0;;118.0;;;12.0;51.0
32;;0;0;0;0;0;0;;;;;;;0.0;;115.0;;;17.0;57.0
33;;0;0;1;0;0;0;;;;;;;0.0;;99.0;;;20.0;
34;;0;0;0;0;0;0;;;;;;;0.0;;123.0;;;18.0;23310.0
35;;0;0;0;0;0;1;;;;;;;1.0;;111.0;;;15.0;84.0
36;;0;0;1;0;0;1;;;;;;;2.0;;102.0;;;24.0;177.0
37;;0;0;1;0;0;0;;;;;;;0.0;;95.0;;;16.0;563.0
38;;0;0;0;0;0;0;;;;;;;0.0;;108.0;;;14.0;40.0
39;;0;0;0;0;0;0;;;;;;;0.0;;107.0;;;20.0;61.0
40;;0;0;0;0;0;1;;;;;;;129.0;;109.0;;;17.0;69.0
41;;0;0;0;0;1;0;;;;;;;0.0;;125.0;;;19.0;208.0
42;;0;0;0;0;0;1;;;;;;;87.0;;115.0;;;17.0;44.0
43;;0;0;0;0;0;0;;;;;;;0.0;;113.0;;;21.0;56.0
44;;0;0;1;0;0;1;;;;;;;2.0;;103.0;;;15.0;
45;;0;0;0;0;0;0;;;;;;;0.0;;119.0;;;17.0;44.0
46;;0;0;1;0;0;0;;;;;;;0.0;;94.0;;;21.0;876.0
47;;0;0;0;0;0;0;;;;;;;0.0;;103.0;;;;1896.0
48;;0;0;0;0;0;0;;;;;;;0.0;;118.0;;;17.0;164.0
49;;0;0;0;0;0;0;;;;;;;0.0;;122.0;;;20.0;175.0
50;;0;0;0;0;0;0;;;;;;;0.0;;69.0;;;;141.0
51;;0;0;0;0;0;0;;;;;;;0.0;;97.0;;;20.0;3273.0
52;;0;0;0;0;0;1;;;;;;;1.0;;108.0;;;20.0;55.0
53;;0;0;0;0;0;0;;;;;;;0.0;;109.0;;;16.0;54.0
54;;0;0;0;0;0;0;;;;;;;0.0;;120.0;;;19.0;31.0
55;;0;0;0;0;0;1;;;;;;;307.0;;106.0;;;18.0;56.0
56;;0;0;1;0;0;0;;;;;;;0.0;;83.0;;;19.0;218.0
57;;0;0;0;0;0;1;;;;;;;3.0;;111.0;;;22.0;173.0
58;;0;0;0;0;0;1;;;;;;;714.0;;95.0;;;24.0;453.0
59;;0;0;1;0;0;1;;;;;;;2.0;;95.0;;;;1194.0
60;;0;0;0;0;0;0;;;;;;;0.0;;98.0;;;20.0;1028.0
61;;0;0;0;0;0;0;;;;;;;0.0;;122.0;;;19.0;134.0
62;;0;0;0;0;0;0;;;;;;;0.0;;96.0;;;16.0;
63;;0;0;0;0;0;0;;;;;;;0.0;;105.0;;;18.0;61.0
64;;0;0;1;0;0;0;;;;;;;1.0;;88.0;;;21.0;211.0
65;;0;0;1;0;0;0;;;;;;;0.0;;115.0;;;17.0;84.0
66;;0;0;0;0;0;0;;;;;;;0.0;;104.0;;;18.0;13749.0
67;;0;0;0;0;0;0;;;;;;;0.0;;120.0;;;14.0;29.0
68;;0;0;0;0;0;0;;;;;;;0.0;;112.0;;;18.0;75.0
69;;0;0;1;1;0;1;;;;;;;5.0;;111.0;;;;76.0
70;;0;0;0;0;0;0;;;;;;;1.0;;99.0;;;24.0;654.0
71;;0;0;1;0;0;0;;;;;;;1.0;;91.0;;;19.0;116.0
72;;0;0;1;0;0;1;;;;;;;69.0;;121.0;;;21.0;48.0
73;;0;0;0;1;0;0;;;;;;;0.0;;;;;;
74;;0;0;1;0;0;0;;;;;;;0.0;;83.0;;;;80.0
75;;0;0;0;0;0;0;;;;;;;0.0;;110.0;;;18.0;87.0
76;;0;0;1;0;0;0;;;;;;;0.0;;103.0;;;16.0;639.0
77;;0;0;0;0;0;0;;;;;;;0.0;;120.0;;;;6024.0
78;;0;0;1;0;0;0;;;;;;;2.0;;130.0;;;20.0;70.0
79;;0;0;0;0;0;0;;;;;;;0.0;;115.0;;;21.0;28.0
80;;0;0;0;0;0;0;;;;;;;0.0;;102.0;;;15.0;633.0
81;;0;0;1;0;0;0;;;;;;;0.0;;78.0;;;21.0;550.0
82;;0;0;0;0;0;0;;;;;;;0.0;;102.0;;;24.0;683.0
83;;0;0;0;0;0;1;;;;;;;2.0;;132.0;;;19.0;49.0
84;;0;0;0;0;0;0;;;;;;;0.0;;104.0;;;13.0;300.0
85;;0;0;0;0;0;0;;;;;;;0.0;;95.0;;;;1293.0
86;;0;0;1;0;0;0;;;;;;;0.0;;105.0;;;25.0;153.0
87;;0;0;1;0;0;0;;;;;;;2.0;;113.0;;;21.0;32.0
88;;0;0;0;0;0;0;;;;;;;0.0;;119.0;;;15.0;15.0
89;;0;0;0;0;0;1;;;;;;;1.0;;104.0;;;20.0;155.0
90;;0;0;1;1;0;0;;;;;;;0.0;;109.0;;;24.0;134.0
91;;0;0;1;1;0;0;;;;;;;3.0;;116.0;;;18.0;35.0
92;;0;0;0;0;0;0;;;;;;;0.0;;87.0;;;15.0;351.0
