;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;0;0;0;0;1;1;;;;;;;;;;;;;
1;;0;0;0;0;0;0;;;;;;;5;;236;;;24;48
2;;0;0;0;0;0;0;;;;;;;0;;239;;;24;153
3;;0;0;0;0;0;1;;;;;;;24;;238;;;24;815
4;;0;0;0;1;0;0;;;;;;;1;;248;;;23;29
5;;0;0;0;0;1;1;;;;;;;0;;236;;;22;89
6;;0;0;0;1;0;1;;;;;;;4;;235;;;20;42
7;;0;0;0;0;0;1;;;;;;;689;;238;;;24;38
8;;0;0;0;0;0;1;;;;;;;11;;238;;;25;37
9;;0;0;1;0;1;1;;;;;;;72;;237;;;22;419
10;;0;0;0;0;0;1;;;;;;;9;;237;;;17;13
11;;0;0;0;0;0;1;;;;;;;0;;239;;;21;60
12;;0;0;0;0;1;1;;;;;;;7;;241;;;21;228
13;;0;0;0;0;1;1;;;;;;;7;;236;;;19;39
14;;0;0;0;0;1;1;;;;;;;6;;241;;;21;125
15;;0;0;0;0;1;0;;;;;;;1;;240;;;21;82
16;;0;0;0;0;1;1;;;;;;;0;;238;;;22;44
17;;0;1;0;1;1;0;;;;;;;0;;234;;;18;168
18;;0;0;0;0;1;1;;;;;;;2;;238;;;21;180
19;;0;0;0;0;1;0;;;;;;;1;;279;;;21;265
20;;0;0;0;0;1;1;;;;;;;117;;237;;;20;66
21;;0;0;0;0;1;0;;;;;;;0;;237;;;24;81
22;;0;0;0;0;0;1;;;;;;;125;;239;;;23;17
23;;0;0;0;0;1;1;;;;;;;0;;238;;;21;39
24;;0;1;0;0;1;1;;;;;;;25;;237;;;22;831
25;;0;0;0;0;1;1;;;;;;;1;;235;;;19;95
26;;0;0;0;0;1;0;;;;;;;0;;239;;;19;211
27;;0;0;0;0;1;0;;;;;;;2;;238;;;21;159
28;;0;1;0;0;0;0;;;;;;;0;;238;;;19;57
29;;0;1;0;0;1;0;;;;;;;0;;235;;;19;146
30;;0;0;0;0;1;0;;;;;;;1;;238;;;22;88
31;;0;0;0;1;0;0;;;;;;;1;;239;;;26;165
32;;0;0;1;0;0;0;;;;;;;0;;241;;;25;28
33;;0;0;0;0;1;0;;;;;;;0;;239;;;30;1515
34;;0;0;0;1;1;0;;;;;;;1;;238;;;22;82
35;;0;0;0;0;0;0;;;;;;;0;;234;;;18;33
36;;0;0;0;0;1;1;;;;;;;86;;240;;;22;70
37;;0;0;1;0;1;0;;;;;;;1;;237;;;21;223
38;;0;0;0;1;1;0;;;;;;;3;;243;;;22;52
39;;0;0;1;0;0;1;;;;;;;18;;237;;;18;25
40;;0;0;0;0;0;1;;;;;;;13;;233;;;17;101
41;;0;0;0;0;1;1;;;;;;;1;;236;;;26;45
42;;0;0;0;0;0;0;;;;;;;0;;241;;;20;32
43;;0;0;1;1;1;0;;;;;;;42;;236;;;20;16
44;;0;0;0;0;0;0;;;;;;;8;;240;;;25;22
45;;0;0;0;0;0;1;;;;;;;17;;237;;;21;22
46;;0;0;0;0;1;0;;;;;;;1;;248;;;28;57
47;;0;0;0;1;0;0;;;;;;;0;;239;;;23;8
48;;0;0;0;0;1;0;;;;;;;4;;237;;;20;167
49;;0;0;1;1;0;1;;;;;;;9;;236;;;20;9
50;;0;0;0;1;1;0;;;;;;;13;;235;;;20;659
51;;0;0;0;1;1;1;;;;;;;146;;236;;;20;26
52;;0;0;0;0;1;0;;;;;;;1;;238;;;23;70
53;;0;0;0;1;0;1;;;;;;;6;;239;;;17;35
54;;0;0;0;0;1;1;;;;;;;0;;242;;;22;442
56;;0;0;0;0;1;0;;;;;;;0;;240;;;22;93
57;;0;1;0;0;1;0;;;;;;;0;;238;;;18;293
58;;0;0;0;0;0;0;;;;;;;0;;238;;;21;17
59;1;0;0;0;0;1;0;;;;;;;5;;242;;;26;206
60;;0;0;0;0;1;1;;;;;;;2;;238;;;20;88
61;;0;1;0;0;1;0;;;;;;;0;;239;;;18;63
62;;0;1;0;1;1;1;;;;;;;1;;239;;;23;95
63;;0;0;0;0;0;1;;;;;;;1;;236;;;21;13
64;;0;1;0;0;1;1;;;;;;;4;;233;;;21;47
65;;0;0;0;0;1;0;;;;;;;1;;262;;;18;512
66;;0;0;0;0;0;0;;;;;;;0;;238;;;23;35
67;;0;0;0;0;1;1;;;;;;;16;;235;;;20;114
69;;0;0;0;0;0;1;;;;;;;2;;235;;;18;57
70;;0;0;0;0;1;1;;;;;;;5;;240;;;22;347
71;;0;1;0;0;1;1;;;;;;;10;;237;;;21;690
72;;0;0;0;1;1;0;;;;;;;1;;238;;;25;94
73;;0;0;1;1;1;0;;;;;;;3;;241;;;20;120
74;;0;1;0;0;1;1;;;;;;;2;;237;;;20;494
75;;0;0;0;1;1;1;;;;;;;214;;232;;;19;301
76;;0;0;0;1;1;1;;;;;;;3;;232;;;23;81
77;;0;0;0;0;1;1;;;;;;;31;;237;;;18;69
78;;0;0;0;0;1;1;;;;;;;3;;239;;;21;37
79;;0;1;0;0;1;1;;;;;;;0;;235;;;19;13
80;;0;0;0;1;1;1;;;;;;;517;;236;;;18;42
81;;0;0;0;0;0;1;;;;;;;94;;244;;;22;9
82;;0;0;0;0;1;1;;;;;;;1;;238;;;19;148
83;;0;0;0;0;1;0;;;;;;;1;;252;;;18;147
84;;0;0;0;1;1;0;;;;;;;0;;238;;;22;145
85;;1;0;0;1;1;1;;;;;;;556;;238;;;19;165
86;;0;0;0;1;1;0;;;;;;;1;;226;;;24;263
87;;0;0;0;0;0;0;;;;;;;123;;237;;;23;43
88;;0;0;0;1;1;0;;;;;;;1;;238;;;19;32
89;;0;0;0;0;1;1;;;;;;;284;;236;;;20;41
90;;0;0;0;0;1;1;;;;;;;1;;240;;;20;31
91;;0;0;0;0;1;0;;;;;;;0;;245;;;22;86
92;;0;0;0;1;1;1;;;;;;;698;;238;;;22;36
93;;0;0;0;0;0;0;;;;;;;5;;237;;;17;46
94;;0;0;0;0;1;1;;;;;;;1;;240;;;25;49
95;;0;0;0;0;1;1;;;;;;;89;;239;;;21;123
96;;0;0;0;0;1;1;;;;;;;1553;;252;;;22;251
97;;0;0;0;0;1;1;;;;;;;333;;234;;;16;157
98;;0;0;0;1;1;1;;;;;;;298;;239;;;18;84
99;;0;0;0;0;1;1;;;;;;;282;;239;;;23;109
