;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;0;0;0;0;0;0;;;;;;;5.0;;244.0;;;28.0;17.0
1;;0;0;0;0;0;0;;;;;;;11.0;;240.0;;;28.0;441.0
2;;0;0;0;0;0;0;;;;;;;4.0;;242.0;;;27.0;8.0
3;;0;0;0;0;0;0;;;;;;;6.0;;253.0;;;25.0;46.0
4;;0;0;0;0;0;0;;;;;;;6.0;;243.0;;;25.0;18.0
5;;0;0;0;0;0;0;;;;;;;2.0;;239.0;;;25.0;261.0
6;;0;0;0;0;0;0;;;;;;;1.0;;241.0;;;26.0;58.0
7;;0;0;0;0;0;0;;;;;;;3.0;;238.0;;;25.0;9.0
8;;0;0;0;0;0;0;;;;;;;3.0;;241.0;;;23.0;25.0
9;;0;0;0;0;0;0;;;;;;;1.0;;238.0;;;26.0;731.0
10;;0;0;0;1;0;0;;;;;;;26.0;;240.0;;;24.0;25.0
11;;0;0;0;0;0;0;;;;;;;3.0;;240.0;;;26.0;5.0
12;;0;0;0;0;1;0;;;;;;;0.0;;245.0;;;24.0;95.0
13;;0;0;0;1;0;0;;;;;;;11.0;;239.0;;;28.0;12.0
14;;0;0;0;0;0;0;;;;;;;4.0;;243.0;;;26.0;304.0
15;;0;0;0;0;1;0;;;;;;;8.0;;241.0;;;24.0;278.0
16;;0;0;0;0;0;0;;;;;;;1.0;;241.0;;;25.0;27.0
17;;0;0;0;1;0;0;;;;;;;3.0;;241.0;;;23.0;23.0
18;;0;0;0;0;0;0;;;;;;;12.0;;241.0;;;25.0;39.0
19;;0;0;1;1;0;0;;;;;;;13.0;;241.0;;;32.0;16.0
20;;0;0;0;0;0;0;;;;;;;5.0;;239.0;;;24.0;10.0
21;;0;0;0;0;0;0;;;;;;;18.0;;254.0;;;27.0;34.0
22;;0;0;0;0;0;0;;;;;;;4.0;;275.0;;;29.0;9.0
23;;0;1;0;0;0;0;;;;;;;2.0;;262.0;;;25.0;19.0
24;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;23.0;33.0
25;;0;1;0;0;0;0;;;;;;;0.0;;234.0;;;26.0;9.0
26;;0;0;0;0;0;0;;;;;;;14.0;;242.0;;;33.0;26.0
27;;0;0;1;0;0;0;;;;;;;4.0;;239.0;;;26.0;42.0
28;;0;1;0;0;0;0;;;;;;;10.0;;243.0;;;29.0;31.0
29;;0;0;0;0;0;0;;;;;;;14.0;;281.0;;;25.0;17.0
30;;0;0;0;0;0;0;;;;;;;1.0;;240.0;;;26.0;19.0
31;;0;0;0;0;0;0;;;;;;;3.0;;241.0;;;27.0;26.0
32;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;27.0;19.0
33;;0;0;0;0;0;0;;;;;;;0.0;;241.0;;;25.0;12.0
34;;0;0;0;0;0;0;;;;;;;4.0;;242.0;;;26.0;11.0
35;;0;0;0;0;0;0;;;;;;;3.0;;241.0;;;27.0;16.0
36;;0;0;0;1;1;0;;;;;;;31.0;;239.0;;;27.0;85.0
37;;0;0;0;0;0;0;;;;;;;8.0;;238.0;;;27.0;20.0
38;;0;0;0;0;0;0;;;;;;;3.0;;238.0;;;26.0;16.0
39;;0;0;0;0;0;0;;;;;;;8.0;;240.0;;;26.0;15.0
40;;0;0;0;0;1;0;;;;;;;0.0;;239.0;;;24.0;281.0
41;;0;1;0;0;0;0;;;;;;;4.0;;242.0;;;24.0;10.0
42;;0;0;0;0;0;0;;;;;;;12.0;;240.0;;;25.0;13.0
43;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;25.0;12.0
44;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;24.0;33.0
45;;0;0;0;0;0;0;;;;;;;4.0;;239.0;;;24.0;10.0
46;;0;0;0;0;0;0;;;;;;;0.0;;242.0;;;26.0;36.0
47;;0;0;0;0;0;0;;;;;;;0.0;;242.0;;;23.0;5.0
48;;0;0;0;0;0;0;;;;;;;6.0;;243.0;;;27.0;7.0
49;;0;0;0;0;0;0;;;;;;;4.0;;243.0;;;25.0;27.0
50;;0;0;0;0;0;0;;;;;;;1.0;;241.0;;;23.0;158.0
51;;0;0;0;0;0;0;;;;;;;3.0;;241.0;;;23.0;56.0
52;;0;0;0;0;0;0;;;;;;;0.0;;243.0;;;24.0;532.0
53;;0;0;0;0;1;0;;;;;;;1.0;;242.0;;;23.0;230.0
54;;0;0;0;0;0;0;;;;;;;2.0;;234.0;;;22.0;6.0
55;;0;1;0;0;0;0;;;;;;;0.0;;240.0;;;24.0;13.0
56;;0;0;0;0;0;1;;;;;;;0.0;;241.0;;;24.0;10.0
57;;0;0;0;0;0;0;;;;;;;6.0;;240.0;;;23.0;83.0
58;;0;0;0;0;0;0;;;;;;;3.0;;238.0;;;31.0;26.0
59;;0;0;0;0;0;0;;;;;;;1.0;;237.0;;;23.0;30.0
60;;0;0;0;0;0;0;;;;;;;8.0;;241.0;;;29.0;10.0
61;;0;0;0;0;0;0;;;;;;;22.0;;241.0;;;26.0;21.0
62;;0;0;0;0;0;0;;;;;;;1.0;;238.0;;;25.0;17.0
63;;0;0;0;0;0;0;;;;;;;1.0;;241.0;;;25.0;17.0
64;;0;0;0;0;0;0;;;;;;;1.0;;241.0;;;34.0;449.0
65;;0;0;0;0;0;0;;;;;;;15.0;;240.0;;;30.0;24.0
66;;0;0;0;0;0;0;;;;;;;3.0;;241.0;;;28.0;75.0
67;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;25.0;15.0
68;;0;0;0;0;0;0;;;;;;;2.0;;242.0;;;27.0;5.0
69;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;25.0;26.0
70;;0;0;0;0;0;1;;;;;;;1.0;;239.0;;;27.0;74.0
71;;0;0;0;0;0;1;;;;;;;1.0;;239.0;;;27.0;13.0
72;;0;0;0;1;0;0;;;;;;;33.0;;242.0;;;25.0;434.0
73;;0;0;0;1;0;0;;;;;;;18.0;;240.0;;;29.0;65.0
74;;0;0;1;1;0;0;;;;;;;1.0;;240.0;;;25.0;77.0
75;;0;1;1;1;0;0;;;;;;;5.0;;239.0;;;25.0;104.0
76;;0;1;0;0;0;0;;;;;;;18.0;;242.0;;;27.0;118.0
77;;0;0;0;0;0;0;;;;;;;3.0;;241.0;;;26.0;107.0
