;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;1;0;0;0;0;0;0;;;;;;;1.0;;106.0;;;15.0;188.0
1;1;0;0;0;0;0;0;;;;;;;0.0;;113.0;;;16.0;265.0
2;1;0;0;0;1;1;0;;;;;;;3.0;;123.0;;;16.0;105.0
3;1;0;0;0;0;1;0;;;;;;;0.0;;103.0;;;18.0;323.0
4;1;0;0;0;0;1;0;;;;;;;0.0;;97.0;;;14.0;
5;1;0;0;0;0;0;0;;;;;;;0.0;;105.0;;;23.0;323.0
6;1;0;0;0;0;1;0;;;;;;;0.0;;129.0;;;30.0;27847.0
7;1;0;0;1;1;0;0;;;;;;;0.0;;113.0;;;19.0;130.0
8;1;0;0;0;0;0;0;;;;;;;1.0;;115.0;;;22.0;31.0
9;1;0;0;0;0;0;0;;;;;;;1.0;;106.0;;;28.0;126.0
10;1;0;0;0;0;1;0;;;;;;;0.0;;105.0;;;19.0;100.0
11;1;0;0;1;1;1;0;;;;;;;1.0;;103.0;;;21.0;1186.0
12;1;0;1;0;1;1;0;;;;;;;3.0;;115.0;;;33.0;78.0
13;1;0;0;0;1;0;0;;;;;;;5.0;;109.0;;;13.0;48.0
14;1;0;0;0;0;0;0;;;;;;;0.0;;119.0;;;18.0;59.0
15;1;0;1;1;1;1;0;;;;;;;10.0;;135.0;;;22.0;132.0
16;1;0;1;0;0;1;0;;;;;;;0.0;;116.0;;;19.0;70.0
17;1;0;0;0;0;0;1;;;;;;;1.0;;120.0;;;12.0;99.0
18;1;0;0;0;0;0;0;;;;;;;0.0;;102.0;;;15.0;527.0
19;1;0;0;1;1;0;0;;;;;;;0.0;;111.0;;;20.0;236.0
20;1;0;0;1;1;0;0;;;;;;;1.0;;93.0;;;23.0;355.0
21;1;0;0;1;1;0;0;;;;;;;1.0;;173.0;;;18.0;
22;1;0;0;0;0;0;0;;;;;;;0.0;;128.0;;;16.0;29.0
23;1;0;0;0;1;0;0;;;;;;;0.0;;120.0;;;13.0;47.0
24;1;0;0;1;0;1;0;;;;;;;0.0;;104.0;;;24.0;202.0
25;1;0;0;1;0;1;0;;;;;;;1.0;;105.0;;;18.0;61.0
26;1;0;0;1;1;1;0;;;;;;;0.0;;104.0;;;;311.0
27;1;0;0;0;0;0;0;;;;;;;0.0;;100.0;;;21.0;2218.0
28;1;0;0;1;1;0;0;;;;;;;0.0;;129.0;;;18.0;34.0
29;1;0;0;0;0;0;0;;;;;;;0.0;;122.0;;;21.0;72.0
30;1;0;1;0;0;0;1;;;;;;;0.0;;104.0;;;20.0;90.0
31;1;0;0;1;1;0;0;;;;;;;0.0;;118.0;;;12.0;51.0
32;1;0;0;0;1;0;0;;;;;;;0.0;;115.0;;;17.0;57.0
33;1;0;1;0;1;0;0;;;;;;;0.0;;99.0;;;20.0;
34;1;0;0;0;0;0;0;;;;;;;0.0;;123.0;;;18.0;23310.0
35;1;0;0;0;0;0;0;;;;;;;1.0;;111.0;;;15.0;84.0
36;1;0;0;1;0;0;0;;;;;;;2.0;;102.0;;;24.0;177.0
37;1;0;0;1;1;0;0;;;;;;;0.0;;95.0;;;16.0;563.0
38;1;0;1;1;1;0;0;;;;;;;0.0;;108.0;;;14.0;40.0
39;1;0;0;0;0;0;0;;;;;;;0.0;;107.0;;;20.0;61.0
40;1;0;1;0;0;1;1;;;;;;;129.0;;109.0;;;17.0;69.0
41;1;0;0;0;0;1;0;;;;;;;0.0;;125.0;;;19.0;208.0
42;1;0;0;0;0;0;1;;;;;;;87.0;;115.0;;;17.0;44.0
43;1;0;0;0;1;0;0;;;;;;;0.0;;113.0;;;21.0;56.0
44;1;0;1;1;0;0;0;;;;;;;2.0;;103.0;;;15.0;
45;1;0;0;0;0;0;0;;;;;;;0.0;;119.0;;;17.0;44.0
46;1;0;0;1;0;0;0;;;;;;;0.0;;94.0;;;21.0;876.0
47;1;0;0;1;1;0;0;;;;;;;0.0;;103.0;;;;1896.0
48;1;0;1;1;0;1;0;;;;;;;0.0;;118.0;;;17.0;164.0
49;1;0;0;0;0;0;0;;;;;;;0.0;;122.0;;;20.0;175.0
50;1;0;0;0;0;0;0;;;;;;;0.0;;69.0;;;;141.0
51;1;0;0;0;0;0;0;;;;;;;0.0;;97.0;;;20.0;3273.0
52;1;0;0;1;0;0;0;;;;;;;1.0;;108.0;;;20.0;55.0
53;1;0;0;0;0;0;0;;;;;;;0.0;;109.0;;;16.0;54.0
54;1;0;0;0;0;0;0;;;;;;;0.0;;120.0;;;19.0;31.0
55;1;0;0;0;0;1;1;;;;;;;307.0;;106.0;;;18.0;56.0
56;1;0;0;1;0;0;0;;;;;;;0.0;;83.0;;;19.0;218.0
57;1;0;1;1;0;1;1;;;;;;;3.0;;111.0;;;22.0;173.0
58;1;0;0;0;0;0;1;;;;;;;714.0;;95.0;;;24.0;453.0
59;1;0;0;1;0;1;0;;;;;;;2.0;;95.0;;;;1194.0
60;1;0;0;1;1;1;0;;;;;;;0.0;;98.0;;;20.0;1028.0
61;1;0;0;1;0;0;0;;;;;;;0.0;;122.0;;;19.0;134.0
62;1;0;0;0;1;1;0;;;;;;;0.0;;96.0;;;16.0;
63;1;0;1;0;0;1;0;;;;;;;0.0;;105.0;;;18.0;61.0
64;1;0;0;1;0;0;0;;;;;;;1.0;;88.0;;;21.0;211.0
65;1;0;0;1;0;0;0;;;;;;;0.0;;115.0;;;17.0;84.0
66;1;0;0;0;0;0;0;;;;;;;0.0;;104.0;;;18.0;13749.0
67;1;0;0;0;0;0;0;;;;;;;0.0;;120.0;;;14.0;29.0
68;1;0;0;0;0;0;0;;;;;;;0.0;;112.0;;;18.0;75.0
69;1;0;1;1;1;0;0;;;;;;;5.0;;111.0;;;;76.0
70;1;0;1;0;0;0;0;;;;;;;1.0;;99.0;;;24.0;654.0
71;1;0;0;1;1;0;0;;;;;;;1.0;;91.0;;;19.0;116.0
72;1;0;1;1;1;0;1;;;;;;;69.0;;121.0;;;21.0;48.0
73;1;0;0;0;1;0;0;;;;;;;0.0;;;;;;
74;1;0;0;1;0;1;0;;;;;;;0.0;;83.0;;;;80.0
75;1;0;0;1;0;0;0;;;;;;;0.0;;110.0;;;18.0;87.0
76;1;0;1;0;1;0;0;;;;;;;0.0;;103.0;;;16.0;639.0
77;1;0;1;0;0;0;0;;;;;;;0.0;;120.0;;;;6024.0
78;1;0;0;1;1;1;0;;;;;;;2.0;;130.0;;;20.0;70.0
79;1;0;0;0;0;0;0;;;;;;;0.0;;115.0;;;21.0;28.0
80;1;0;0;0;0;0;0;;;;;;;0.0;;102.0;;;15.0;633.0
81;1;0;1;1;1;0;0;;;;;;;0.0;;78.0;;;21.0;550.0
82;1;0;1;1;0;0;0;;;;;;;0.0;;102.0;;;24.0;683.0
83;1;0;0;0;0;0;0;;;;;;;2.0;;132.0;;;19.0;49.0
84;1;0;0;1;0;0;0;;;;;;;0.0;;104.0;;;13.0;300.0
85;1;0;0;0;0;0;0;;;;;;;0.0;;95.0;;;;1293.0
86;1;0;0;0;0;0;0;;;;;;;0.0;;105.0;;;25.0;153.0
87;1;0;0;1;0;0;0;;;;;;;2.0;;113.0;;;21.0;32.0
88;1;0;0;0;0;0;0;;;;;;;0.0;;119.0;;;15.0;15.0
89;1;1;1;1;0;0;0;;;;;;;1.0;;104.0;;;20.0;155.0
90;1;0;1;1;1;0;0;;;;;;;0.0;;109.0;;;24.0;134.0
91;1;0;0;1;1;0;0;;;;;;;3.0;;116.0;;;18.0;35.0
92;1;0;1;0;0;0;0;;;;;;;0.0;;87.0;;;15.0;351.0
93;1;0;1;0;0;0;0;;;;;;;;;;;;;
