;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;0;0;0;0;0;0;;;;;;;1;;236;;;13;20
1;;0;0;0;0;0;1;;;;;;;198;;237;;;12;89
2;;0;0;0;0;1;0;;;;;;;1;;237;;;11;139
3;;0;0;0;0;0;1;;;;;;;49;;235;;;11;95
4;;0;0;0;0;0;0;;;;;;;0;;236;;;13;48
5;;0;0;0;0;1;1;;;;;;;121;;230;;;14;44
6;;0;0;0;0;1;0;;;;;;;0;;236;;;9;123
7;;0;0;0;0;1;0;;;;;;;34;;234;;;14;67
8;;0;0;0;1;0;0;;;;;;;0;;234;;;11;33
9;;0;0;0;0;0;0;;;;;;;1;;238;;;11;22
10;;0;0;0;0;1;0;;;;;;;0;;237;;;11;121
11;;0;0;0;0;0;0;;;;;;;0;;239;;;12;68
12;;0;0;0;1;0;0;;;;;;;144;;236;;;13;3
13;;0;0;0;0;1;1;;;;;;;150;;237;;;10;29
14;;0;0;0;0;1;0;;;;;;;1;;237;;;10;57
15;;0;0;0;0;0;0;;;;;;;0;;237;;;10;22
16;;0;0;0;0;0;0;;;;;;;0;;237;;;10;31
17;;0;0;0;0;0;0;;;;;;;0;;236;;;11;11
18;;0;0;0;0;0;0;;;;;;;0;;237;;;12;34
19;;0;0;0;0;0;0;;;;;;;2;;238;;;14;195
20;;0;0;0;0;0;0;;;;;;;0;;237;;;11;8
21;;0;0;0;0;0;0;;;;;;;0;;238;;;13;39
22;;0;0;0;0;0;0;;;;;;;0;;237;;;13;18
23;;0;0;0;0;0;0;;;;;;;0;;237;;;13;33
24;;0;0;0;0;0;0;;;;;;;0;;237;;;12;13
25;;0;0;0;0;0;0;;;;;;;0;;222;;;10;52
26;;0;0;0;0;0;0;;;;;;;0;;238;;;12;11
27;;0;0;0;0;0;0;;;;;;;0;;238;;;10;87
28;;0;0;0;0;0;0;;;;;;;0;;251;;;14;18
29;;0;0;0;0;0;0;;;;;;;0;;238;;;12;92
30;;0;0;0;0;0;0;;;;;;;0;;237;;;15;25
31;;0;0;0;1;0;0;;;;;;;0;;238;;;11;14
32;;0;0;0;0;0;0;;;;;;;0;;237;;;11;19
33;;0;0;0;1;0;0;;;;;;;0;;236;;;12;42
35;;0;0;0;0;0;1;;;;;;;188;;237;;;14;33
36;;0;0;0;1;0;0;;;;;;;2;;239;;;13;19
37;;0;0;0;0;1;0;;;;;;;3;;240;;;16;1169
38;;0;0;0;0;1;0;;;;;;;0;;236;;;12;153
39;;0;0;0;1;0;0;;;;;;;0;;237;;;12;61
40;;0;0;0;0;0;1;;;;;;;0;;236;;;8;30
41;;0;0;0;0;0;0;;;;;;;0;;239;;;14;57
42;;0;0;0;0;0;0;;;;;;;1;;234;;;14;28
43;;0;0;0;0;0;1;;;;;;;23;;237;;;11;69
44;;0;0;0;0;0;0;;;;;;;0;;238;;;13;119
45;;0;0;0;0;0;0;;;;;;;0;;238;;;12;29
46;;0;0;0;1;0;0;;;;;;;0;;236;;;13;85
47;;0;0;0;0;1;0;;;;;;;0;;237;;;9;34
48;;0;0;0;0;0;0;;;;;;;1;;234;;;11;89
49;;0;0;0;0;1;0;;;;;;;0;;239;;;13;191
50;;0;0;0;0;0;0;;;;;;;0;;238;;;12;10
51;;0;0;0;0;0;0;;;;;;;0;;239;;;13;16
52;;0;0;0;1;1;1;;;;;;;11;;240;;;14;21
53;;0;0;0;0;0;0;;;;;;;0;;241;;;13;22
54;;0;0;0;1;0;0;;;;;;;1;;238;;;11;15
55;;0;0;0;0;0;0;;;;;;;9;;234;;;13;17
56;;0;0;0;0;0;0;;;;;;;0;;240;;;9;30
57;;0;0;0;0;0;0;;;;;;;0;;227;;;10;117
58;;0;0;0;1;1;1;;;;;;;69;;239;;;10;136
59;;0;0;0;0;0;0;;;;;;;2;;239;;;10;35
60;;0;0;0;0;0;0;;;;;;;1;;238;;;13;60
61;;0;0;0;0;1;0;;;;;;;2;;231;;;13;1530
62;;0;0;0;0;1;0;;;;;;;0;;236;;;13;8
63;;0;0;0;0;1;0;;;;;;;0;;238;;;14;185
64;;0;0;0;0;0;0;;;;;;;1;;247;;;14;55
65;;0;0;0;0;1;1;;;;;;;100;;234;;;12;39
66;;0;0;0;1;1;0;;;;;;;0;;237;;;10;27
67;;0;0;0;0;0;0;;;;;;;0;;235;;;9;15
68;;0;0;0;0;0;0;;;;;;;22;;237;;;12;43
69;;0;0;0;0;0;0;;;;;;;1;;238;;;11;83
70;;0;0;0;0;1;0;;;;;;;0;;235;;;26;38
71;;0;0;0;0;0;0;;;;;;;6;;217;;;13;14
72;;0;0;0;0;0;0;;;;;;;0;;235;;;13;43
73;;0;0;0;0;1;0;;;;;;;0;;225;;;11;84
74;;0;0;0;0;1;0;;;;;;;0;;219;;;10;114
75;;0;0;0;0;1;0;;;;;;;0;;234;;;11;77
77;;0;0;0;0;1;0;;;;;;;0;;236;;;14;71
78;;0;0;0;0;0;0;;;;;;;0;;236;;;13;34
79;;0;0;0;0;0;0;;;;;;;1;;238;;;12;31
80;;0;0;0;0;0;0;;;;;;;1;;238;;;10;5
81;;0;0;0;0;1;0;;;;;;;0;;238;;;12;89
83;;0;0;0;0;0;0;;;;;;;1;;238;;;12;41
84;;0;0;0;0;1;0;;;;;;;0;;240;;;11;42
85;;0;0;0;0;1;0;;;;;;;0;;230;;;9;21
86;;0;0;0;0;0;0;;;;;;;1;;229;;;13;56
87;;0;0;0;0;0;0;;;;;;;1;;235;;;9;11
88;;0;0;0;0;1;0;;;;;;;0;;231;;;10;39
89;;0;0;0;0;0;0;;;;;;;1;;237;;;13;12
90;;0;0;0;0;1;0;;;;;;;0;;234;;;16;1217
91;;0;0;0;0;0;0;;;;;;;0;;226;;;14;29
92;;0;0;0;1;0;0;;;;;;;0;;235;;;13;13
93;;0;0;0;0;1;0;;;;;;;0;;238;;;9;124
94;;0;0;0;0;0;0;;;;;;;0;;237;;;9;61
95;;0;0;0;0;1;0;;;;;;;2;;227;;;14;38
96;;0;0;0;0;0;0;;;;;;;0;;238;;;13;29
97;;0;0;0;0;1;0;;;;;;;0;;236;;;11;23
98;;0;0;0;0;1;0;;;;;;;0;;238;;;12;143
99;;0;0;0;1;1;0;;;;;;;1;;238;;;12;114
