;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;0;1;0;0;1;0;;;;;;;5;;238;;;22;26
1;;0;0;0;0;1;0;;;;;;;1;;251;;;21;796
2;;0;0;0;0;0;0;;;;;;;0;;239;;;20;5
3;;0;1;0;0;1;0;;;;;;;2;;239;;;19;364
4;;0;1;0;0;1;0;;;;;;;0;;235;;;18;226
5;;0;0;0;0;1;0;;;;;;;0;;238;;;17;93
6;;1;0;0;0;1;0;;;;;;;0;;237;;;21;85
7;;0;0;0;0;1;0;;;;;;;3;;238;;;17;507
8;;0;0;0;0;1;0;;;;;;;0;;236;;;18;476
9;;0;0;0;1;1;0;;;;;;;6;;238;;;17;220
10;;0;0;0;0;1;0;;;;;;;1;;235;;;23;840
11;;0;0;0;0;1;0;;;;;;;0;;237;;;21;240
12;;0;0;0;0;1;0;;;;;;;2;;238;;;25;63
13;;0;0;0;0;1;0;;;;;;;2;;238;;;20;74
14;;0;1;0;1;0;0;;;;;;;0;;236;;;18;34
15;;0;0;0;0;1;0;;;;;;;11;;240;;;23;59
16;;0;0;0;0;1;0;;;;;;;0;;242;;;20;78
17;;0;0;0;0;1;0;;;;;;;0;;240;;;24;506
18;;0;1;0;0;1;0;;;;;;;6;;240;;;19;133
19;;0;1;0;0;1;0;;;;;;;0;;238;;;18;472
20;;0;0;0;0;1;0;;;;;;;14;;240;;;20;201
21;;0;0;0;0;1;0;;;;;;;1;;243;;;17;297
22;;0;1;0;0;1;0;;;;;;;9;;240;;;20;83
23;;0;0;0;0;1;0;;;;;;;3;;240;;;19;300
24;;0;0;0;0;1;0;;;;;;;1;;250;;;20;40
25;;0;1;0;0;1;0;;;;;;;0;;236;;;21;411
26;;0;0;0;0;1;0;;;;;;;38;;237;;;21;145
27;;0;1;0;0;1;0;;;;;;;0;;240;;;18;138
28;;0;0;0;0;1;0;;;;;;;0;;242;;;18;160
29;;0;0;0;0;1;0;;;;;;;0;;238;;;20;108
30;;0;0;1;0;0;0;;;;;;;9;;240;;;21;98
31;;0;0;0;0;1;0;;;;;;;0;;235;;;17;427
32;;0;0;0;0;1;0;;;;;;;4;;238;;;19;65
33;;0;0;0;0;1;0;;;;;;;0;;243;;;21;33
34;;0;0;0;0;1;0;;;;;;;0;;240;;;22;17
35;;0;0;0;0;1;0;;;;;;;0;;240;;;22;188
36;;0;0;0;0;0;0;;;;;;;1;;240;;;19;9
37;;0;0;0;0;0;0;;;;;;;0;;242;;;29;500
38;;0;0;0;0;1;0;;;;;;;6;;241;;;20;68
39;;0;0;0;0;1;0;;;;;;;6;;241;;;19;67
40;;0;1;0;0;0;0;;;;;;;5;;238;;;24;6
41;;0;0;0;0;1;0;;;;;;;0;;238;;;21;19
42;;0;1;0;0;0;0;;;;;;;12;;244;;;57;35
43;;0;0;0;0;1;0;;;;;;;3;;238;;;20;23
44;;0;0;0;0;0;0;;;;;;;1;;240;;;25;16
45;;0;1;0;0;1;0;;;;;;;3;;241;;;21;80
46;;0;0;0;0;1;0;;;;;;;4;;242;;;21;43
47;;0;0;0;0;0;0;;;;;;;1;;242;;;23;23
48;;0;0;0;0;0;0;;;;;;;2;;239;;;23;43
49;;0;0;0;1;0;0;;;;;;;10;;242;;;21;23
50;;0;0;0;0;1;0;;;;;;;1;;239;;;23;116
51;;0;1;0;0;1;0;;;;;;;15;;241;;;26;44
52;;0;0;0;0;1;0;;;;;;;1;;241;;;22;69
53;;0;1;0;0;0;0;;;;;;;3;;241;;;27;10
54;;0;1;0;0;0;0;;;;;;;6;;241;;;24;9
55;;0;0;0;0;0;0;;;;;;;2;;239;;;21;11
56;;0;0;0;1;1;0;;;;;;;2;;240;;;25;12
