;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;0;1;0;0;1;0;;;;;;;0;;239;;;23;83
1;;0;1;0;0;0;0;;;;;;;12;;239;;;19;34
2;;0;0;0;0;0;0;;;;;;;0;;238;;;16;24
3;;0;1;0;0;0;0;;;;;;;0;;240;;;19;20
4;;0;0;0;0;1;0;;;;;;;0;;238;;;17;631
6;;0;1;0;0;1;0;;;;;;;3;;237;;;23;68
7;;0;1;0;0;0;1;;;;;;;1;;237;;;18;920
8;;0;1;0;0;0;0;;;;;;;7;;239;;;22;19
9;;0;1;0;0;0;0;;;;;;;3;;242;;;19;1344
10;;0;1;0;0;0;0;;;;;;;1;;237;;;20;50
11;;0;1;0;0;0;0;;;;;;;1;;237;;;14;649
12;;0;1;0;0;1;0;;;;;;;1;;233;;;17;78
13;;0;1;0;0;1;1;;;;;;;8;;232;;;16;131
14;;0;1;0;0;1;0;;;;;;;1;;237;;;15;45
15;;0;1;0;0;1;0;;;;;;;0;;237;;;16;54
16;;1;1;0;0;0;0;;;;;;;2;;234;;;21;25
17;;0;0;0;0;1;0;;;;;;;0;;240;;;16;43
18;;0;1;0;0;0;0;;;;;;;0;;244;;;25;1149
19;;0;1;0;0;0;0;;;;;;;1;;238;;;12;7
20;;0;1;0;0;0;0;;;;;;;0;;240;;;16;45
21;;0;0;0;0;1;0;;;;;;;0;;241;;;13;415
22;;0;1;0;0;1;1;;;;;;;49;;238;;;16;186
23;;0;1;0;0;1;1;;;;;;;3;;231;;;16;97
24;;0;1;0;0;0;0;;;;;;;2;;239;;;18;69
25;;0;1;0;0;0;0;;;;;;;2;;240;;;20;41
26;;0;1;0;0;1;0;;;;;;;0;;238;;;20;102
27;;0;0;0;0;0;0;;;;;;;0;;239;;;14;39
28;;0;1;0;0;0;0;;;;;;;3;;240;;;24;10
29;;0;0;0;0;0;0;;;;;;;1;;238;;;16;50
30;;0;1;0;0;1;0;;;;;;;0;;236;;;18;1403
31;;0;1;0;0;1;0;;;;;;;1;;238;;;19;153
32;;0;1;0;0;1;0;;;;;;;0;;239;;;17;223
33;;0;1;0;0;0;0;;;;;;;1;;238;;;19;41
34;;0;1;0;0;0;0;;;;;;;9;;238;;;19;16
35;;0;0;0;0;0;0;;;;;;;0;;240;;;17;77
36;;0;1;0;0;1;0;;;;;;;0;;236;;;17;44
37;;0;1;0;0;0;0;;;;;;;6;;242;;;18;20
38;;0;1;0;0;1;0;;;;;;;0;;237;;;24;758
39;;0;1;0;0;1;0;;;;;;;0;;238;;;17;136
40;;0;1;0;0;0;0;;;;;;;0;;235;;;16;15
41;;0;1;0;0;1;0;;;;;;;0;;241;;;17;171
42;;0;1;0;0;0;0;;;;;;;0;;231;;;18;48
43;;0;0;0;0;1;0;;;;;;;0;;234;;;14;47
44;;0;1;0;0;1;0;;;;;;;0;;237;;;17;324
45;;0;1;0;0;0;0;;;;;;;0;;238;;;13;44
46;;0;1;0;0;1;1;;;;;;;2087;;221;;;20;20
47;;0;1;0;0;0;0;;;;;;;19;;236;;;21;54
48;;0;1;0;0;1;0;;;;;;;0;;238;;;14;15
49;;0;1;0;0;0;0;;;;;;;1;;235;;;20;36
50;;0;1;0;0;0;0;;;;;;;4;;241;;;25;31
51;;0;1;0;0;0;0;;;;;;;0;;237;;;14;1099
52;;0;0;0;0;0;0;;;;;;;1;;238;;;13;9
53;;0;1;0;0;1;0;;;;;;;0;;236;;;19;36
54;;0;1;0;0;1;0;;;;;;;2;;239;;;18;63
55;;0;1;0;0;0;0;;;;;;;2;;237;;;18;22
56;;0;1;0;0;1;0;;;;;;;1;;236;;;16;58
57;;0;1;0;0;1;0;;;;;;;1;;237;;;23;53
58;;0;0;0;0;0;0;;;;;;;0;;239;;;17;49
59;;0;1;0;0;0;0;;;;;;;4;;238;;;24;23
60;;0;0;0;0;0;0;;;;;;;0;;238;;;16;57
61;;0;1;0;0;1;0;;;;;;;1;;240;;;19;53
62;;0;1;0;0;0;0;;;;;;;0;;238;;;20;19
63;;0;1;0;0;0;0;;;;;;;0;;232;;;20;19
64;;0;1;0;0;1;0;;;;;;;0;;238;;;15;29
65;;0;1;0;0;0;0;;;;;;;2;;241;;;21;23
66;;0;1;0;0;0;0;;;;;;;0;;240;;;17;99
67;;0;1;0;0;0;1;;;;;;;24;;239;;;14;40
68;;0;1;0;0;1;0;;;;;;;0;;240;;;14;42
69;;0;1;0;0;1;0;;;;;;;0;;237;;;12;22
70;;0;1;0;0;0;0;;;;;;;0;;236;;;14;21
71;;0;1;0;0;0;0;;;;;;;0;;240;;;23;50
72;;0;1;0;0;0;0;;;;;;;1;;235;;;16;36
73;;0;1;0;0;0;0;;;;;;;2;;239;;;18;54
74;;0;0;0;0;0;0;;;;;;;4;;237;;;16;16
75;;0;1;0;0;1;0;;;;;;;2;;241;;;18;543
76;;0;0;0;0;1;0;;;;;;;0;;237;;;15;48
77;;0;1;0;0;1;0;;;;;;;2;;236;;;16;123
78;;0;1;0;0;0;0;;;;;;;1;;238;;;23;16
79;;0;1;0;0;1;1;;;;;;;92;;239;;;20;54
80;;0;1;0;0;1;0;;;;;;;0;;239;;;15;73
81;;0;1;0;0;0;0;;;;;;;0;;243;;;21;38
82;;0;1;0;1;0;0;;;;;;;9;;242;;;22;49
83;;0;0;0;0;0;0;;;;;;;0;;237;;;17;11
84;;0;1;0;0;1;0;;;;;;;1;;236;;;14;215
85;;0;1;0;0;0;0;;;;;;;0;;237;;;17;23
86;;0;1;0;0;0;0;;;;;;;0;;239;;;20;9
87;;0;1;0;1;1;0;;;;;;;0;;237;;;16;701
88;;0;1;0;0;0;0;;;;;;;1;;241;;;22;16
89;;0;1;0;0;1;0;;;;;;;0;;238;;;15;43
91;;0;0;0;0;0;0;;;;;;;0;;237;;;16;36
92;;0;1;0;0;0;0;;;;;;;32;;235;;;25;6
93;;0;1;0;0;0;0;;;;;;;1;;238;;;16;4
94;;0;1;0;0;0;0;;;;;;;2;;240;;;25;16
95;;0;1;0;0;0;0;;;;;;;3;;244;;;30;13
96;;0;1;0;0;0;0;;;;;;;0;;241;;;18;4
97;;0;1;0;1;0;0;;;;;;;7;;234;;;14;30
98;;0;1;0;0;0;0;;;;;;;4;;241;;;33;509
99;;0;1;0;0;0;0;;;;;;;6;;247;;;28;16
