;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;1;0;0;1;0;0;;;;;;;25;;239;;;40;12
1;;0;0;0;0;1;0;;;;;;;0;;243;;;21;196
2;;1;0;0;0;0;0;;;;;;;1;;240;;;30;49
3;;1;0;0;0;0;0;;;;;;;5;;240;;;32;10
4;;1;1;0;0;0;0;;;;;;;1;;242;;;30;291
5;;1;0;0;0;1;1;;;;;;;7;;235;;;19;17
6;;1;0;0;0;1;0;;;;;;;0;;236;;;29;137
7;;1;1;0;0;0;0;;;;;;;7;;243;;;34;26
8;;1;1;1;1;0;0;;;;;;;43;;237;;;28;111
9;;1;0;0;0;1;0;;;;;;;21;;241;;;41;679
10;;1;0;0;0;0;0;;;;;;;18;;247;;;23;49
11;;1;0;0;0;0;0;;;;;;;3;;241;;;33;11
12;;0;0;1;1;0;0;;;;;;;25;;240;;;25;17
13;;1;0;0;0;1;0;;;;;;;30;;238;;;41;660
14;;1;0;0;0;1;0;;;;;;;3;;240;;;28;62
15;;1;0;0;1;1;0;;;;;;;13;;241;;;31;102
16;;1;0;0;0;0;0;;;;;;;4;;242;;;27;14
17;;1;0;0;0;0;0;;;;;;;4;;240;;;25;19
18;;1;0;0;0;1;0;;;;;;;90;;238;;;33;327
19;;1;0;0;0;1;0;;;;;;;43;;237;;;32;91
20;;1;0;1;1;0;0;;;;;;;75;;239;;;31;55
21;;1;0;0;0;0;0;;;;;;;3;;240;;;26;22
22;;1;1;0;0;0;0;;;;;;;14;;237;;;37;9
23;;0;0;1;1;0;0;;;;;;;112;;240;;;26;39
24;;1;1;0;0;1;1;;;;;;;1843;;238;;;25;55
25;;1;0;0;0;0;0;;;;;;;3;;240;;;27;9
26;;1;1;0;1;0;0;;;;;;;26;;241;;;29;31
27;;1;0;0;0;0;0;;;;;;;7;;238;;;29;18
28;;1;1;1;1;0;0;;;;;;;6;;240;;;32;8
29;;1;1;0;0;1;0;;;;;;;7;;244;;;27;552
30;;0;0;0;0;0;0;;;;;;;9;;239;;;23;7
31;;0;0;0;0;0;0;;;;;;;3;;240;;;24;928
32;;0;0;0;0;0;0;;;;;;;1;;242;;;29;5
33;;1;0;0;0;1;0;;;;;;;0;;242;;;23;103
34;;1;0;0;0;0;0;;;;;;;13;;239;;;28;12
35;;1;0;0;0;1;0;;;;;;;6;;240;;;23;49
36;;1;0;0;0;1;0;;;;;;;3;;240;;;34;9
37;;1;0;0;0;0;0;;;;;;;12;;241;;;36;66
38;;0;0;0;0;1;0;;;;;;;8;;241;;;31;12
39;;1;0;0;0;0;0;;;;;;;1;;241;;;27;22
40;;1;0;0;0;1;0;;;;;;;2;;241;;;27;172
41;;1;0;0;0;1;0;;;;;;;0;;244;;;28;606
42;;1;0;0;0;0;0;;;;;;;3;;242;;;26;17
43;;1;0;0;1;0;0;;;;;;;8;;241;;;31;24
44;;1;0;0;1;1;0;;;;;;;32;;238;;;35;30
45;;0;0;1;1;0;0;;;;;;;8;;241;;;22;8
46;;1;0;0;0;0;0;;;;;;;1;;244;;;31;8
47;;1;0;0;1;0;0;;;;;;;83;;239;;;32;20
48;;1;1;0;0;1;1;;;;;;;1;;242;;;27;138
49;;1;1;0;0;1;0;;;;;;;10;;248;;;31;258
50;;0;1;1;1;0;0;;;;;;;123;;238;;;32;14
51;;1;0;0;0;1;0;;;;;;;4;;249;;;29;46
52;;1;0;0;0;1;0;;;;;;;4;;243;;;29;81
53;;1;0;0;0;1;0;;;;;;;33;;240;;;32;105
54;;1;1;0;0;1;0;;;;;;;12;;230;;;38;622
55;;1;0;0;0;0;0;;;;;;;14;;238;;;29;7
56;;1;0;0;0;1;0;;;;;;;3;;240;;;36;64
57;;1;0;0;0;1;0;;;;;;;0;;240;;;23;91
58;;1;0;0;0;1;0;;;;;;;1;;235;;;27;421
59;;1;0;0;0;1;0;;;;;;;1;;245;;;41;1471
60;;1;0;0;0;0;0;;;;;;;0;;238;;;27;12
61;;1;0;0;0;1;0;;;;;;;0;;233;;;26;1104
62;;1;0;0;0;0;0;;;;;;;4;;238;;;37;24
63;;1;0;0;0;1;0;;;;;;;3;;208;;;32;133
64;;1;0;0;0;0;0;;;;;;;1;;241;;;32;33
65;;1;0;0;0;0;0;;;;;;;2;;239;;;31;24
66;;1;0;0;1;1;0;;;;;;;30;;236;;;20;39
67;;1;0;0;0;1;1;;;;;;;359;;239;;;24;234
68;;1;0;0;0;1;0;;;;;;;17;;237;;;28;136
69;;1;0;0;0;1;0;;;;;;;4;;238;;;32;629
70;;1;0;0;0;1;0;;;;;;;1;;239;;;25;57
71;;1;0;0;0;0;0;;;;;;;1;;241;;;39;22
72;;1;0;0;0;1;0;;;;;;;2;;242;;;27;62
73;;1;0;0;0;1;0;;;;;;;1;;240;;;29;54
74;;1;0;0;0;0;0;;;;;;;28;;240;;;30;14
75;;1;0;0;0;1;0;;;;;;;1;;240;;;31;685
76;;1;0;0;0;1;0;;;;;;;3;;238;;;23;45
77;;1;1;0;0;1;0;;;;;;;0;;233;;;28;940
78;;0;0;0;0;1;0;;;;;;;0;;238;;;23;152
79;;1;0;0;0;1;0;;;;;;;3;;237;;;37;272
80;;1;0;0;0;0;1;;;;;;;1008;;243;;;39;592
81;;1;0;1;1;1;0;;;;;;;62;;237;;;23;14
82;;1;0;0;0;1;0;;;;;;;0;;238;;;32;53
83;;1;0;0;0;1;0;;;;;;;2;;240;;;34;306
84;;1;0;0;0;0;0;;;;;;;0;;240;;;37;24
85;;1;0;0;0;0;0;;;;;;;1;;241;;;29;42
86;;1;1;0;0;0;0;;;;;;;0;;255;;;32;41
87;;1;0;0;0;0;0;;;;;;;22;;242;;;31;34
88;;0;0;0;0;1;0;;;;;;;0;;240;;;26;603
