;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;0;0;0;0;0;0;;;;;;;1.0;;240.0;;;24.0;2.0
1;;0;0;0;0;0;0;;;;;;;8.0;;240.0;;;26.0;15.0
2;;0;0;0;0;0;0;;;;;;;5.0;;240.0;;;24.0;12.0
3;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;26.0;22.0
4;;0;0;0;0;0;0;;;;;;;8.0;;239.0;;;26.0;8.0
5;;0;0;0;0;0;0;;;;;;;1.0;;247.0;;;22.0;396.0
6;;0;0;0;0;0;0;;;;;;;4.0;;243.0;;;24.0;91.0
7;;0;0;0;0;0;0;;;;;;;0.0;;241.0;;;23.0;25.0
8;;0;0;0;0;0;0;;;;;;;1.0;;241.0;;;24.0;9.0
9;;0;0;0;0;0;0;;;;;;;0.0;;237.0;;;24.0;18.0
10;;0;0;0;0;0;0;;;;;;;2.0;;241.0;;;24.0;9.0
11;;0;0;0;0;0;0;;;;;;;1.0;;243.0;;;23.0;116.0
12;;0;0;0;0;0;0;;;;;;;1.0;;242.0;;;22.0;11.0
13;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;25.0;19.0
14;;0;0;0;0;0;0;;;;;;;4.0;;240.0;;;23.0;22.0
15;;0;0;0;0;0;0;;;;;;;2.0;;240.0;;;22.0;25.0
16;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;25.0;7.0
17;;0;0;0;0;0;0;;;;;;;5.0;;240.0;;;24.0;26.0
18;;0;0;0;0;0;0;;;;;;;3.0;;241.0;;;23.0;12.0
19;;0;0;0;0;0;0;;;;;;;0.0;;242.0;;;24.0;22.0
20;;0;0;0;0;0;0;;;;;;;14.0;;241.0;;;23.0;19.0
21;;0;0;0;0;0;0;;;;;;;3.0;;239.0;;;23.0;23.0
22;;0;0;0;0;0;0;;;;;;;3.0;;238.0;;;23.0;13.0
23;;0;0;0;0;0;0;;;;;;;55.0;;235.0;;;27.0;12.0
24;;0;0;0;0;0;0;;;;;;;3.0;;239.0;;;26.0;10.0
25;;0;0;0;0;0;0;;;;;;;3.0;;237.0;;;26.0;7.0
26;;0;0;0;0;0;0;;;;;;;1.0;;238.0;;;23.0;20.0
27;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;24.0;16.0
28;;0;0;0;0;0;0;;;;;;;2.0;;238.0;;;25.0;15.0
29;;0;0;0;0;0;0;;;;;;;1.0;;242.0;;;23.0;557.0
30;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;23.0;8.0
31;;0;0;0;0;0;0;;;;;;;0.0;;236.0;;;23.0;13.0
32;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;22.0;3.0
33;;0;0;0;0;0;0;;;;;;;1.0;;238.0;;;24.0;37.0
34;;0;0;1;0;0;0;;;;;;;1.0;;240.0;;;23.0;9.0
35;;0;0;0;0;0;0;;;;;;;8.0;;239.0;;;22.0;8.0
36;;0;0;0;0;0;0;;;;;;;1.0;;241.0;;;24.0;8.0
37;;0;0;0;0;0;0;;;;;;;21.0;;240.0;;;23.0;16.0
38;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;15.0;34.0
39;;0;0;0;0;0;0;;;;;;;9.0;;237.0;;;21.0;42.0
40;;0;0;0;0;0;0;;;;;;;1.0;;258.0;;;20.0;3.0
41;;0;0;0;0;0;0;;;;;;;1.0;;238.0;;;23.0;48.0
42;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;20.0;34.0
43;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;22.0;14.0
44;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;30.0;441.0
45;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;24.0;60.0
46;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;20.0;8.0
47;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;21.0;404.0
48;;0;0;0;0;0;0;;;;;;;5.0;;241.0;;;23.0;40.0
49;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;21.0;513.0
50;;0;0;0;0;1;0;;;;;;;4.0;;240.0;;;21.0;54.0
51;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;21.0;88.0
52;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;22.0;18.0
53;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;24.0;24.0
54;;0;0;0;0;0;0;;;;;;;1.0;;237.0;;;18.0;19.0
55;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;24.0;23.0
56;;0;0;0;0;0;0;;;;;;;0.0;;235.0;;;20.0;10.0
57;;0;0;0;0;0;0;;;;;;;2.0;;239.0;;;24.0;43.0
58;;0;0;0;0;0;0;;;;;;;2.0;;241.0;;;21.0;15.0
59;;0;0;0;0;0;0;;;;;;;1.0;;237.0;;;20.0;803.0
60;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;22.0;17.0
61;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;23.0;42.0
62;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;20.0;21.0
63;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;18.0;9.0
64;;0;0;0;0;0;0;;;;;;;0.0;;237.0;;;18.0;12.0
65;;0;0;0;0;0;0;;;;;;;0.0;;237.0;;;22.0;9.0
66;;0;0;0;0;0;0;;;;;;;1.0;;238.0;;;23.0;18.0
67;;0;0;0;0;0;0;;;;;;;3.0;;242.0;;;22.0;25.0
68;;0;0;0;0;0;0;;;;;;;0.0;;237.0;;;22.0;5.0
69;;0;0;0;0;0;0;;;;;;;2.0;;238.0;;;21.0;4.0
70;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;20.0;484.0
71;;0;0;0;0;0;0;;;;;;;0.0;;237.0;;;17.0;86.0
72;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;21.0;24.0
73;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;24.0;16.0
74;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;18.0;14.0
75;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;23.0;18.0
76;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;20.0;41.0
77;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;19.0;15.0
78;;0;0;0;0;0;0;;;;;;;7.0;;240.0;;;21.0;9.0
79;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;19.0;54.0
80;;0;0;0;0;1;0;;;;;;;0.0;;254.0;;;19.0;29.0
81;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;22.0;28.0
82;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;26.0;16.0
83;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;22.0;31.0
84;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;23.0;19.0
85;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;22.0;33.0
86;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;21.0;39.0
87;;0;0;0;0;0;0;;;;;;;2.0;;239.0;;;25.0;41.0
88;;0;0;1;0;0;0;;;;;;;1.0;;241.0;;;22.0;37.0
89;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;17.0;32.0
90;;0;0;0;0;0;0;;;;;;;1.0;;238.0;;;23.0;15.0
91;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;21.0;34.0
92;;0;0;0;0;0;0;;;;;;;0.0;;236.0;;;23.0;33.0
93;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;21.0;63.0
94;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;22.0;29.0
95;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;20.0;8.0
96;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;17.0;26.0
97;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;21.0;29.0
98;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;20.0;10.0
99;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;21.0;11.0
