;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;0;0;0;0;1;0;;;;;;;0;;237;;;13;29
1;;0;0;0;0;1;0;;;;;;;0;;237;;;14;83
3;;0;0;0;0;0;0;;;;;;;0;;224;;;13;7
4;;0;0;0;0;0;0;;;;;;;0;;250;;;15;26
5;;0;0;0;1;0;0;;;;;;;3;;237;;;13;26
6;;0;0;0;0;0;0;;;;;;;0;;236;;;16;28
7;;0;0;0;0;1;0;;;;;;;0;;237;;;16;83
8;;0;0;0;0;0;0;;;;;;;1;;238;;;16;20
9;;0;0;0;0;1;0;;;;;;;1;;237;;;15;49
10;;0;0;0;0;0;0;;;;;;;0;;235;;;14;25
11;;0;0;0;0;0;0;;;;;;;1;;259;;;16;18
12;;0;0;0;0;0;0;;;;;;;3;;237;;;14;616
13;;0;0;0;0;0;0;;;;;;;0;;238;;;14;9
14;;0;0;0;1;0;0;;;;;;;0;;239;;;16;433
15;;0;0;0;0;1;0;;;;;;;0;;237;;;14;75
16;;0;0;0;0;0;0;;;;;;;0;;237;;;14;30
17;;0;0;0;1;0;0;;;;;;;1;;236;;;16;29
18;;0;0;0;0;0;0;;;;;;;0;;238;;;13;21
19;;0;0;0;1;0;0;;;;;;;0;;234;;;16;17
20;;0;0;0;0;0;0;;;;;;;0;;237;;;14;25
21;;0;0;0;0;0;0;;;;;;;0;;237;;;16;18
22;;0;0;0;0;0;0;;;;;;;0;;239;;;13;11
23;;0;0;0;0;1;0;;;;;;;0;;236;;;14;11
24;;0;0;0;0;1;0;;;;;;;0;;239;;;17;441
25;;0;0;0;0;1;0;;;;;;;0;;233;;;27;1371
26;;0;0;0;0;0;0;;;;;;;0;;237;;;14;27
27;;0;0;0;0;1;0;;;;;;;0;;238;;;15;98
28;;0;0;0;0;1;0;;;;;;;0;;237;;;15;32
29;;0;0;0;0;0;0;;;;;;;0;;232;;;13;23
30;;0;0;0;0;0;0;;;;;;;1;;238;;;16;6
31;;0;0;0;0;0;0;;;;;;;3;;240;;;14;816
32;;0;0;0;1;0;0;;;;;;;2;;239;;;18;1344
33;;0;0;0;0;0;0;;;;;;;0;;238;;;14;33
34;;0;0;0;0;0;0;;;;;;;0;;237;;;15;34
35;;0;0;0;0;1;0;;;;;;;0;;245;;;15;68
36;;0;0;0;0;0;0;;;;;;;1;;238;;;12;11
37;;0;0;0;0;0;0;;;;;;;1;;240;;;14;7
38;;0;0;0;0;1;0;;;;;;;3;;241;;;14;649
39;;0;0;0;1;0;0;;;;;;;9;;238;;;14;51
40;;0;0;0;0;0;0;;;;;;;0;;236;;;15;18
41;;0;0;0;0;0;0;;;;;;;0;;264;;;15;17
42;;0;0;0;0;0;0;;;;;;;0;;238;;;15;8
43;;0;0;0;0;0;0;;;;;;;0;;240;;;14;28
44;;0;0;0;0;0;0;;;;;;;0;;238;;;14;17
45;;0;0;0;0;0;0;;;;;;;0;;238;;;13;6
46;;0;0;0;0;0;0;;;;;;;1;;237;;;13;10
47;;0;0;0;0;0;0;;;;;;;1;;233;;;15;672
48;;0;0;0;0;0;0;;;;;;;0;;237;;;15;21
49;;0;0;0;0;0;0;;;;;;;0;;238;;;13;32
50;;0;0;0;0;0;0;;;;;;;0;;238;;;16;26
51;;0;0;0;0;0;0;;;;;;;0;;236;;;16;8
52;;0;0;0;0;0;0;;;;;;;1;;237;;;16;11
53;;0;0;0;0;0;0;;;;;;;0;;257;;;16;353
54;;0;0;0;0;0;0;;;;;;;1;;238;;;14;6
55;;0;0;0;0;0;0;;;;;;;0;;237;;;15;8
56;;0;0;0;1;0;0;;;;;;;1;;230;;;14;20
57;;0;0;0;0;0;0;;;;;;;0;;236;;;12;24
58;;0;0;0;0;0;0;;;;;;;0;;243;;;14;19
59;;0;0;0;0;0;0;;;;;;;0;;240;;;15;9
60;;0;0;0;0;0;0;;;;;;;1;;241;;;15;19
61;;0;0;0;1;0;0;;;;;;;1;;235;;;17;25
62;;0;0;0;0;0;0;;;;;;;0;;240;;;15;19
63;;0;0;0;0;0;0;;;;;;;1;;239;;;14;650
64;;0;0;0;0;0;0;;;;;;;1;;238;;;17;19
65;;0;0;0;0;0;0;;;;;;;1;;238;;;15;28
66;;0;0;0;0;0;0;;;;;;;0;;240;;;16;40
67;;0;0;0;1;0;0;;;;;;;2;;237;;;17;16
68;;0;0;0;0;0;0;;;;;;;0;;240;;;15;395
69;;0;0;0;0;0;0;;;;;;;0;;240;;;14;70
70;;0;0;0;0;0;0;;;;;;;1;;238;;;15;7
71;;0;0;0;0;0;0;;;;;;;1;;239;;;15;4
